

  default power settings:


=== Benchmarking multiTask ===
[04/23/2026-11:22:15] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
Avg inference time: 9.73 ms
FPS: 102.77
Avg actual time: -9.73 ms
avg actual fps: -102.77
individual runs:
from start time: 1776914538097.90 ms
run 95 | start time: 1197.44 ms | finish: 1208.13
run 96 | start time: 1208.13 ms | finish: 1218.76
run 97 | start time: 1218.76 ms | finish: 1229.44
run 98 | start time: 1229.44 ms | finish: 1240.12
run 99 | start time: 1240.12 ms | finish: 1250.74
run 100 | start time: 1250.74 ms | finish: 1261.38

=== Benchmarking det ===
[04/23/2026-11:27:02] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
Avg inference time: 6.58 ms
FPS: 151.92
Avg actual time: -6.58 ms
avg actual fps: -151.92
individual runs:
from start time: 1776914825176.52 ms
run 1 | start time: 0.00 ms | finish: 7.60
run 2 | start time: 7.60 ms | finish: 14.94
run 3 | start time: 14.94 ms | finish: 22.30
run 4 | start time: 22.30 ms | finish: 29.66
run 5 | start time: 29.66 ms | finish: 36.99
run 6 | start time: 36.99 ms | finish: 44.34
run 7 | start time: 44.34 ms | finish: 51.53
run 8 | start time: 51.53 ms | finish: 59.51
